Method, Contexts, Application?, Dirty?
"<java.lang.AbstractStringBuilder: void <init>(int)>", 28, 0, 1
"<java.lang.Long: java.lang.String toString(long)>", 1, 0, 0
"<com.ibm.example.irs.Salary: void <init>()>", 2, 0, 0
"<java.lang.StringBuilder: java.lang.StringBuilder append(int)>", 11, 0, 1
"<java.lang.Throwable: java.lang.Throwable initCause(java.lang.Throwable)>", 1, 0, 0
"<java.util.ArrayList: void <init>()>", 4, 0, 0
"<sun.misc.FDBigInteger: void mult(int[],int,int,int[])>", 2, 0, 0
"<sun.misc.FDBigInteger: void <init>(int[],int)>", 15, 0, 0
"<java.lang.String: int length()>", 1, 0, 1
"<java.lang.AssertionError: void <init>()>", 2, 0, 0
"<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: int insignificantDigitsForPow2(int)>", 1, 0, 0
"<java.util.ArrayList$Itr: java.lang.Object next()>", 4, 0, 0
"<sun.misc.FloatingDecimal: java.lang.String toJavaFormatString(double)>", 1, 0, 0
"<java.lang.String: java.lang.String valueOf(int)>", 1, 0, 0
"<java.util.ArrayList$Itr: void <init>(java.util.ArrayList)>", 3, 0, 0
"<java.lang.Exception: void <init>(java.lang.String)>", 8, 0, 1
"<sun.misc.FloatingDecimal: sun.misc.FloatingDecimal$BinaryToASCIIBuffer getBinaryToASCIIBuffer()>", 1, 0, 0
"<com.ibm.example.irs.Employee: java.lang.String getLevel()>", 1, 0, 0
"<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(int)>", 11, 0, 1
"<com.ibm.example.irs.Employee: int getHours()>", 1, 0, 0
"<com.ibm.example.irs.Employee: double getRate()>", 5, 0, 0
"<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void setSign(boolean)>", 1, 0, 0
"<java.lang.RuntimeException: void <init>(java.lang.String)>", 8, 0, 1
"<java.lang.VirtualMachineError: void <init>()>", 2, 0, 1
"<sun.misc.FDBigInteger: sun.misc.FDBigInteger mult(int)>", 2, 0, 0
"<java.lang.StringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>", 11, 0, 1
"<java.util.Objects: java.lang.String toString(java.lang.Object,java.lang.String)>", 1, 0, 0
"<java.lang.Exception: void <init>(java.lang.String,java.lang.Throwable)>", 2, 0, 0
"<com.ibm.example.irs.BusinessProcess: void <init>()>", 1, 1, 0
"<com.ibm.example.irs.IRS: com.ibm.example.irs.Salary getSalaryfromIRS(int)>", 1, 0, 0
"<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: int estimateDecExp(long,int)>", 1, 0, 0
"<sun.misc.FDBigInteger: int quoRemIteration(sun.misc.FDBigInteger)>", 2, 0, 0
"<java.util.ArrayList: boolean add(java.lang.Object)>", 9, 0, 0
"<java.util.Arrays: char[] copyOf(char[],int)>", 1, 0, 1
"<sun.misc.FDBigInteger: int checkZeroTail(int[],int)>", 2, 0, 0
"<java.lang.Math: int max(int,int)>", 1, 0, 0
"<com.ibm.example.irs.IRS: void setYear(int)>", 1, 0, 0
"<sun.misc.FDBigInteger: int 'cmp'(sun.misc.FDBigInteger)>", 4, 0, 0
"<java.lang.Exception: void <init>()>", 3, 0, 0
"<java.lang.AssertionError: void <init>(int)>", 10, 0, 0
"<java.lang.Integer: void getChars(int,int,char[])>", 2, 0, 1
"<java.lang.Throwable: void <init>(java.lang.String)>", 21, 0, 1
"<sun.misc.FloatingDecimal: sun.misc.FloatingDecimal$BinaryToASCIIConverter getBinaryToASCIIConverter(double)>", 1, 0, 0
"<sun.misc.FDBigInteger: void leftShift(int[],int,int[],int,int,int)>", 4, 0, 0
"<java.lang.String: java.lang.String valueOf(long)>", 1, 0, 0
"<com.ibm.example.irs.Salary: void setSalary(double)>", 2, 0, 0
"<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>", 24, 0, 1
"<com.ibm.example.irs.BusinessProcess: void genSalarySlip(com.ibm.example.irs.IRS)>", 1, 1, 0
"<java.lang.IllegalArgumentException: void <init>(java.lang.String)>", 2, 0, 1
"<java.lang.Object: void <init>()>", 92, 0, 1
"<com.ibm.example.irs.Employee: java.lang.String getName()>", 1, 0, 0
"<sun.misc.FDBigInteger: int size()>", 4, 0, 0
"<com.ibm.example.irs.Employer: void <init>(int,java.lang.String,java.util.List)>", 2, 0, 0
"<java.lang.String: java.lang.String valueOf(java.lang.Object)>", 2, 0, 0
"<sun.misc.FDBigInteger: sun.misc.FDBigInteger big5powRec(int)>", 1, 0, 0
"<java.util.ArrayList: void ensureCapacityInternal(int)>", 8, 0, 0
"<java.lang.Throwable: void <init>()>", 7, 0, 1
"<java.lang.Integer: java.lang.String toString(int)>", 1, 0, 0
"<java.util.AbstractCollection: void <init>()>", 4, 0, 0
"<com.ibm.example.irs.IRS: void <init>()>", 1, 0, 0
"<java.lang.Double: java.lang.String toString(double)>", 1, 0, 0
"<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>", 30, 0, 1
