FcpaEdges, SparkEdges, Context, CallSite
1, 1, 681, "staticinvoke <java.lang.Integer: void getChars(int,int,char[])>(i0, i3, $r1)"
1, 1, 681, "virtualinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>("-2147483648")"
1, 1, 681, "$i5 = staticinvoke <java.lang.Integer: int stringSize(int)>($i4)"
1, 1, 681, "$i6 = staticinvoke <java.lang.Integer: int stringSize(int)>(i0)"
1, 1, 681, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>(i3)"
1, 1, 677, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 677, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 678, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 679, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 682, "$r2 = virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 674, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 675, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 675, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 675, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 675, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 676, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 657, "$i0 = virtualinvoke r1.<java.lang.String: int length()>()"
1, 1, 657, "virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 657, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>($i1)"
1, 1, 658, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 733, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 728, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 728, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 728, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 728, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 729, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 730, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 730, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 731, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 732, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 740, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>($i1)"
1, 1, 740, "virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 740, "$i0 = virtualinvoke r1.<java.lang.String: int length()>()"
1, 1, 741, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 702, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>($i1)"
1, 1, 702, "$i0 = virtualinvoke r1.<java.lang.String: int length()>()"
1, 1, 702, "virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 703, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 734, "specialinvoke $r0.<java.lang.String: void <init>(char[],int,int)>($r2, 0, $i0)"
1, 1, 715, "specialinvoke r0.<java.util.ArrayList: void ensureCapacityInternal(int)>($i1)"
1, 1, 624, "$i1 = staticinvoke <java.util.ArrayList: int calculateCapacity(java.lang.Object[],int)>($r1, i0)"
1, 1, 624, "specialinvoke r0.<java.util.ArrayList: void ensureExplicitCapacity(int)>($i1)"
1, 1, 626, "specialinvoke r0.<java.util.ArrayList: void grow(int)>(i2)"
1, 1, 627, "$r3 = staticinvoke <java.util.Arrays: java.lang.Object[] copyOf(java.lang.Object[],int)>($r2, i5)"
1, 1, 627, "i5 = staticinvoke <java.util.ArrayList: int hugeCapacity(int)>(i2)"
1, 1, 427, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 428, "specialinvoke r0.<java.lang.VirtualMachineError: void <init>()>()"
1, 1, 429, "specialinvoke r0.<java.lang.Error: void <init>()>()"
1, 1, 430, "specialinvoke r0.<java.lang.Throwable: void <init>()>()"
1, 1, 431, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 431, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 628, "$r2 = staticinvoke <java.util.Arrays: java.lang.Object[] copyOf(java.lang.Object[],int,java.lang.Class)>(r0, i0, $r1)"
-1, 0, 628, "$r1 = virtualinvoke r0.<java.lang.Object: java.lang.Class getClass()>()"
1, 1, 629, "$i2 = staticinvoke <java.lang.Math: int min(int,int)>($i1, i0)"
1, 1, 629, "$r2 = staticinvoke <java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int)>($r1, i0)"
1, 1, 625, "$i1 = staticinvoke <java.lang.Math: int max(int,int)>(10, i0)"
1, 1, 114, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(int)>(i0)"
1, 1, 115, "$i5 = staticinvoke <java.lang.Integer: int stringSize(int)>($i4)"
1, 1, 115, "staticinvoke <java.lang.Integer: void getChars(int,int,char[])>(i0, i3, $r1)"
1, 1, 115, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>(i3)"
1, 1, 115, "virtualinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>("-2147483648")"
1, 1, 115, "$i6 = staticinvoke <java.lang.Integer: int stringSize(int)>(i0)"
1, 1, 116, "$r2 = virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 17, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 18, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 18, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 18, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 18, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 19, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 20, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 20, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 21, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 22, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 722, "specialinvoke $r5.<java.util.ConcurrentModificationException: void <init>()>()"
1, 1, 722, "specialinvoke $r6.<java.util.NoSuchElementException: void <init>()>()"
1, 1, 722, "virtualinvoke r0.<java.util.ArrayList$Itr: void checkForComodification()>()"
1, 1, 722, "$i1 = staticinvoke <java.util.ArrayList: int access$000(java.util.ArrayList)>($r1)"
1, 1, 723, "specialinvoke $r2.<java.util.ConcurrentModificationException: void <init>()>()"
1, 1, 559, "specialinvoke r0.<java.lang.RuntimeException: void <init>()>()"
1, 1, 560, "specialinvoke r0.<java.lang.Exception: void <init>()>()"
1, 1, 561, "specialinvoke r0.<java.lang.Throwable: void <init>()>()"
1, 1, 562, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 562, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 565, "specialinvoke r0.<java.lang.RuntimeException: void <init>()>()"
1, 1, 566, "specialinvoke r0.<java.lang.Exception: void <init>()>()"
1, 1, 567, "specialinvoke r0.<java.lang.Throwable: void <init>()>()"
1, 1, 568, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 568, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 571, "specialinvoke r0.<java.lang.RuntimeException: void <init>()>()"
1, 1, 572, "specialinvoke r0.<java.lang.Exception: void <init>()>()"
1, 1, 573, "specialinvoke r0.<java.lang.Throwable: void <init>()>()"
1, 1, 574, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 574, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 671, "$i0 = virtualinvoke r1.<java.lang.String: int length()>()"
1, 1, 671, "virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 671, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>($i1)"
1, 1, 672, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 727, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 689, "specialinvoke $r6.<java.util.NoSuchElementException: void <init>()>()"
1, 1, 689, "virtualinvoke r0.<java.util.ArrayList$Itr: void checkForComodification()>()"
1, 1, 689, "specialinvoke $r5.<java.util.ConcurrentModificationException: void <init>()>()"
1, 1, 689, "$i1 = staticinvoke <java.util.ArrayList: int access$000(java.util.ArrayList)>($r1)"
1, 1, 690, "specialinvoke $r2.<java.util.ConcurrentModificationException: void <init>()>()"
1, 1, 683, "specialinvoke $r0.<java.lang.String: void <init>(char[],int,int)>($r2, 0, $i0)"
1, 1, 13, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>($i1)"
1, 1, 13, "virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 13, "$i0 = virtualinvoke r1.<java.lang.String: int length()>()"
1, 1, 15, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 735, "virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 735, "$i0 = virtualinvoke r1.<java.lang.String: int length()>()"
1, 1, 735, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>($i1)"
1, 1, 736, "specialinvoke r0.<java.lang.Object: void <init>()>()"
-1, 0, 710, "virtualinvoke $r0.<java.io.PrintStream: void println(java.lang.String)>("in Empoyee, getEmployeeId")"
1, 1, 148, "$r0 = staticinvoke <java.lang.Double: java.lang.String toString(double)>(d0)"
1, 1, 149, "$r0 = staticinvoke <sun.misc.FloatingDecimal: java.lang.String toJavaFormatString(double)>(d0)"
-1, 0, 150, "$r1 = interfaceinvoke $r0.<sun.misc.FloatingDecimal$BinaryToASCIIConverter: java.lang.String toJavaFormatString()>()"
1, 1, 150, "$r0 = staticinvoke <sun.misc.FloatingDecimal: sun.misc.FloatingDecimal$BinaryToASCIIConverter getBinaryToASCIIConverter(double)>(d0)"
1, 1, 151, "$r0 = staticinvoke <sun.misc.FloatingDecimal: sun.misc.FloatingDecimal$BinaryToASCIIConverter getBinaryToASCIIConverter(double,boolean)>(d0, 1)"
1, 1, 152, "r3 = staticinvoke <sun.misc.FloatingDecimal: sun.misc.FloatingDecimal$BinaryToASCIIBuffer getBinaryToASCIIBuffer()>()"
1, 1, 152, "staticinvoke <sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void access$000(sun.misc.FloatingDecimal$BinaryToASCIIBuffer,boolean)>(r3, z0)"
1, 1, 152, "staticinvoke <sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void access$100(sun.misc.FloatingDecimal$BinaryToASCIIBuffer,int,long,int,boolean)>(r3, i13, l11, i12, z1)"
1, 1, 152, "i10 = staticinvoke <java.lang.Long: int numberOfLeadingZeros(long)>(l8)"
1, 1, 157, "specialinvoke r0.<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void dtoa(int,long,int,boolean)>(i0, l1, i2, z0)"
1, 1, 158, "i134 = virtualinvoke r33.<sun.misc.FDBigInteger: int quoRemIteration(sun.misc.FDBigInteger)>(r32)"
1, 1, 158, "specialinvoke $r30.<java.lang.AssertionError: void <init>()>()"
1, 1, 158, "specialinvoke $r16.<java.lang.AssertionError: void <init>(int)>(i129)"
1, 1, 158, "r33 = staticinvoke <sun.misc.FDBigInteger: sun.misc.FDBigInteger valueOfMulPow52(long,int,int)>(l108, i6, $i19)"
1, 1, 158, "$i136 = virtualinvoke r33.<sun.misc.FDBigInteger: int 'cmp'(sun.misc.FDBigInteger)>($r36)"
1, 1, 158, "r35 = staticinvoke <sun.misc.FDBigInteger: sun.misc.FDBigInteger valueOfPow52(int,int)>($i25, $i24)"
1, 1, 158, "i6 = staticinvoke <java.lang.Math: int max(int,int)>(0, $i103)"
1, 1, 158, "specialinvoke $r24.<java.lang.AssertionError: void <init>(int)>(i121)"
1, 1, 158, "$i26 = virtualinvoke r33.<sun.misc.FDBigInteger: int 'cmp'(sun.misc.FDBigInteger)>(r34)"
1, 1, 158, "r31 = staticinvoke <sun.misc.FDBigInteger: sun.misc.FDBigInteger valueOfPow52(int,int)>(i7, i112)"
1, 1, 158, "specialinvoke $r7.<java.lang.AssertionError: void <init>(int)>(i135)"
1, 1, 158, "$i40 = virtualinvoke r33.<sun.misc.FDBigInteger: int 'cmp'(sun.misc.FDBigInteger)>(r34)"
1, 1, 158, "r33 = virtualinvoke r33.<sun.misc.FDBigInteger: sun.misc.FDBigInteger leftShift(int)>(1)"
1, 1, 158, "specialinvoke r0.<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void roundup()>()"
1, 1, 158, "specialinvoke r0.<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void developLongDigits(int,long,int)>(0, l101, i100)"
-1, 0, 158, "i133 = virtualinvoke r31.<sun.misc.FDBigInteger: int getNormalizationBias()>()"
-1, 0, 158, "r32 = virtualinvoke r31.<sun.misc.FDBigInteger: sun.misc.FDBigInteger leftShift(int)>(i133)"
1, 1, 158, "specialinvoke $r15.<java.lang.AssertionError: void <init>(int)>(i132)"
1, 1, 158, "i102 = staticinvoke <sun.misc.FloatingDecimal$BinaryToASCIIBuffer: int estimateDecExp(long,int)>(l99, i2)"
1, 1, 158, "i0 = staticinvoke <java.lang.Long: int numberOfTrailingZeros(long)>(l99)"
1, 1, 158, "i7 = staticinvoke <java.lang.Math: int max(int,int)>(0, i102)"
1, 1, 158, "specialinvoke $r8.<java.lang.AssertionError: void <init>(int)>(i134)"
1, 1, 158, "i100 = staticinvoke <sun.misc.FloatingDecimal$BinaryToASCIIBuffer: int insignificantDigitsForPow2(int)>($i95)"
1, 1, 158, "specialinvoke r0.<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void roundup()>()"
-1, 0, 158, "$i41 = virtualinvoke r35.<sun.misc.FDBigInteger: int addAndCmp(sun.misc.FDBigInteger,sun.misc.FDBigInteger)>(r33, r34)"
1, 1, 158, "specialinvoke r0.<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void roundup()>()"
1, 1, 158, "specialinvoke $r29.<java.lang.AssertionError: void <init>()>()"
1, 1, 158, "i10 = staticinvoke <java.lang.Math: int min(int,int)>(i110, i106)"
1, 1, 158, "i5 = staticinvoke <java.lang.Math: int max(int,int)>(0, $i4)"
1, 1, 158, "specialinvoke $r23.<java.lang.AssertionError: void <init>(int)>(i124)"
-1, 0, 158, "$i27 = virtualinvoke r35.<sun.misc.FDBigInteger: int addAndCmp(sun.misc.FDBigInteger,sun.misc.FDBigInteger)>(r33, r34)"
-1, 0, 158, "r34 = virtualinvoke r34.<sun.misc.FDBigInteger: sun.misc.FDBigInteger multBy10()>()"
1, 1, 158, "$i39 = virtualinvoke r33.<sun.misc.FDBigInteger: int 'cmp'(sun.misc.FDBigInteger)>(r35)"
1, 1, 158, "r34 = staticinvoke <sun.misc.FDBigInteger: sun.misc.FDBigInteger valueOfPow52(int,int)>($i22, $i21)"
1, 1, 158, "i135 = virtualinvoke r33.<sun.misc.FDBigInteger: int quoRemIteration(sun.misc.FDBigInteger)>(r32)"
1, 1, 356, "i40 = staticinvoke <sun.misc.FDBigInteger: int multAndCarryBy10(int[],int,int[])>($r5, $i14, $r4)"
1, 1, 356, "i34 = staticinvoke <sun.misc.FDBigInteger: int multAndCarryBy10(int[],int,int[])>($r12, $i31, $r11)"
1, 1, 356, "specialinvoke r0.<sun.misc.FDBigInteger: void trimLeadingZeros()>()"
1, 1, 356, "specialinvoke $r10.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>("disparate values")"
1, 1, 356, "specialinvoke r0.<sun.misc.FDBigInteger: void trimLeadingZeros()>()"
1, 1, 356, "specialinvoke $r14.<java.lang.AssertionError: void <init>(java.lang.Object)>("cannot modify immutable value")"
1, 1, 356, "l12 = specialinvoke r0.<sun.misc.FDBigInteger: long multDiffMe(long,sun.misc.FDBigInteger)>(l35, r1)"
1, 1, 356, "i1 = specialinvoke r1.<sun.misc.FDBigInteger: int size()>()"
1, 1, 356, "specialinvoke $r6.<java.lang.AssertionError: void <init>(int)>(i40)"
1, 1, 356, "specialinvoke $r9.<java.lang.AssertionError: void <init>(long)>(l36)"
1, 1, 356, "i0 = specialinvoke r0.<sun.misc.FDBigInteger: int size()>()"
1, 1, 333, "specialinvoke r0.<java.lang.AssertionError: void <init>(java.lang.String)>($r1)"
1, 1, 333, "$r1 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>(l0)"
1, 1, 174, "$r0 = staticinvoke <java.lang.Long: java.lang.String toString(long)>(l0)"
1, 1, 175, "$i6 = staticinvoke <java.lang.Long: int stringSize(long)>(l0)"
1, 1, 175, "specialinvoke $r1.<java.lang.String: void <init>(char[],boolean)>(r0, 1)"
1, 1, 175, "staticinvoke <java.lang.Long: void getChars(long,int,char[])>(l0, i3, r0)"
1, 1, 175, "$i5 = staticinvoke <java.lang.Long: int stringSize(long)>($l4)"
1, 1, 178, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 334, "specialinvoke r0.<java.lang.Error: void <init>(java.lang.String)>(r1)"
1, 1, 335, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 336, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 336, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 340, "specialinvoke r0.<java.lang.AssertionError: void <init>(java.lang.String)>($r1)"
1, 1, 340, "$r1 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>(i0)"
1, 1, 341, "specialinvoke r0.<java.lang.Error: void <init>(java.lang.String)>(r1)"
1, 1, 342, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 343, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 343, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 290, "specialinvoke r0.<java.lang.AssertionError: void <init>(java.lang.String)>($r2)"
1, 1, 290, "virtualinvoke r0.<java.lang.AssertionError: java.lang.Throwable initCause(java.lang.Throwable)>($r3)"
1, 1, 290, "$r2 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r1)"
1, 1, 298, "$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 298, "$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("Can\'t overwrite cause with ")"
1, 1, 298, "specialinvoke $r4.<java.lang.IllegalStateException: void <init>(java.lang.String,java.lang.Throwable)>($r9, r0)"
1, 1, 298, "specialinvoke $r5.<java.lang.StringBuilder: void <init>()>()"
1, 1, 298, "specialinvoke $r3.<java.lang.IllegalArgumentException: void <init>(java.lang.String,java.lang.Throwable)>("Self-causation not permitted", r0)"
1, 1, 298, "$r8 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r7)"
1, 1, 298, "$r7 = staticinvoke <java.util.Objects: java.lang.String toString(java.lang.Object,java.lang.String)>(r2, "a null")"
1, 1, 309, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 303, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 303, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 303, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 303, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 305, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 305, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 306, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 307, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 304, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 317, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2)"
1, 1, 318, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2)"
1, 1, 319, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2)"
1, 1, 320, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 320, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 299, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>(16)"
1, 1, 300, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 311, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2)"
1, 1, 312, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2)"
1, 1, 313, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2)"
1, 1, 314, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 314, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 302, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 310, "specialinvoke $r0.<java.lang.String: void <init>(char[],int,int)>($r2, 0, $i0)"
1, 1, 293, "specialinvoke r0.<java.lang.Error: void <init>(java.lang.String)>(r1)"
1, 1, 294, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 295, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 295, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 326, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 327, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 328, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 329, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 329, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 376, "$i8 = staticinvoke <sun.misc.FDBigInteger: int checkZeroTail(int[],int)>($r3, i16)"
1, 1, 376, "$i6 = staticinvoke <sun.misc.FDBigInteger: int checkZeroTail(int[],int)>($r2, i17)"
1, 1, 195, "specialinvoke r0.<java.lang.AssertionError: void <init>(java.lang.String)>($r1)"
1, 1, 195, "$r1 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>(i0)"
1, 1, 196, "specialinvoke r0.<java.lang.Error: void <init>(java.lang.String)>(r1)"
1, 1, 197, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 198, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 198, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 164, "specialinvoke r0.<java.lang.Error: void <init>()>()"
1, 1, 165, "specialinvoke r0.<java.lang.Throwable: void <init>()>()"
1, 1, 166, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 166, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 350, "$r1 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>(i0)"
1, 1, 350, "specialinvoke r0.<java.lang.AssertionError: void <init>(java.lang.String)>($r1)"
1, 1, 351, "specialinvoke r0.<java.lang.Error: void <init>(java.lang.String)>(r1)"
1, 1, 352, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 353, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 353, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 207, "$r1 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>(i0)"
1, 1, 207, "specialinvoke r0.<java.lang.AssertionError: void <init>(java.lang.String)>($r1)"
1, 1, 208, "specialinvoke r0.<java.lang.Error: void <init>(java.lang.String)>(r1)"
1, 1, 209, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 210, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 210, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 172, "specialinvoke $r6.<java.lang.AssertionError: void <init>(long)>(l23)"
1, 1, 173, "$r1 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>(l0)"
1, 1, 173, "specialinvoke r0.<java.lang.AssertionError: void <init>(java.lang.String)>($r1)"
1, 1, 179, "specialinvoke r0.<java.lang.Error: void <init>(java.lang.String)>(r1)"
1, 1, 180, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 181, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 181, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 366, "specialinvoke $r14.<sun.misc.FDBigInteger: void <init>(int[],int)>(r18, $i24)"
1, 1, 366, "specialinvoke $r15.<sun.misc.FDBigInteger: void <init>(int[],int)>($r17, $i30)"
1, 1, 366, "staticinvoke <sun.misc.FDBigInteger: void leftShift(int[],int,int[],int,int,int)>($r13, i32, r18, i3, i31, i33)"
1, 1, 366, "$r17 = staticinvoke <java.util.Arrays: int[] copyOf(int[],int)>($r16, $i28)"
1, 1, 366, "staticinvoke <sun.misc.FDBigInteger: void leftShift(int[],int,int[],int,int,int)>(r3, i41, r19, i3, i35, i42)"
